sub_category,Total_Sales,Total_Profit,Total_Quantity,Avg_Discount,Avg_Profit_Rate,Order_Count,Sales_Share,Quantity_Share,Is_LowSales
Phones,1043544.9757,107357.5748,11737.5,0.137,0.0893,3133,0.118,0.0665,否
Chairs,1041158.4028,83188.0868,12202.0,0.1551,0.0633,3187,0.1178,0.0692,否
Storage,951031.2586,84158.8689,16736.0,0.1285,0.0736,4534,0.1076,0.0949,否
Bookcases,947661.3977,82236.8474,8256.5,0.1429,0.0711,2284,0.1072,0.0468,否
Copiers,935523.0601,94782.0601,7395.0,0.1092,0.1169,2120,0.1058,0.0419,否
Accessories,612142.0545,79939.368,10809.5,0.1141,0.1232,2889,0.0692,0.0613,否
Appliances,535104.6833,60022.553,6004.5,0.1221,0.1141,1686,0.0605,0.034,否
Machines,486811.9796,40253.2038,4867.0,0.1491,0.0569,1422,0.0551,0.0276,否
Tables,394372.0731,1645.968,3056.5,0.2675,-0.1059,836,0.0446,0.0173,否
Furnishings,371698.2722,46050.0614,11112.0,0.1393,0.1055,2965,0.042,0.063,否
Art,371076.5673,58177.693,16113.5,0.1053,0.1271,4366,0.042,0.0914,否
Binders,365431.5686,54651.5962,21153.0,0.1453,0.105,5392,0.0413,0.1199,否
Paper,243889.5448,55918.574,12690.0,0.1041,0.2282,3234,0.0276,0.0719,是
Supplies,213581.5805,25414.2893,8425.5,0.12,0.0907,2281,0.0242,0.0478,是
Envelopes,170881.1407,28505.0163,8296.5,0.1231,0.1359,2310,0.0193,0.047,是
Fasteners,83242.3159,11564.3431,8308.0,0.1316,0.1031,2304,0.0094,0.0471,是
Labels,73151.3561,14095.1669,9209.5,0.1135,0.1597,2460,0.0083,0.0522,是
