country,Total_Sales,Total_Profit,Avg_Profit_Rate,Order_Count,Customer_Count,Sales_Share,Is_LowPerformance
United States,1490669.2699,175759.2609,0.1763,5009,793,0.1686,否
France,608336.7013,72142.428,0.1739,1222,679,0.0688,否
Australia,599998.1904,55402.257,0.1034,1420,660,0.0679,否
Mexico,464120.8576,62039.822,0.1854,1329,670,0.0525,否
China,443044.923,74629.317,0.2325,925,549,0.0501,否
Germany,436704.5256,63256.9665,0.1946,907,582,0.0494,否
India,358775.4326,60799.11,0.2261,785,494,0.0406,否
United Kingdom,347160.3052,51582.594,0.1792,775,529,0.0393,否
Brazil,274603.8294,27954.4422,0.0739,784,472,0.0311,否
Indonesia,266174.5388,5784.367,-0.0828,698,469,0.0301,否
Italy,211177.7368,16764.342,0.0985,529,376,0.0239,否
Spain,192873.039,27295.134,0.2118,429,337,0.0218,否
El Salvador,134284.5399,24706.3225,0.2563,375,299,0.0152,否
Philippines,134052.1358,-5655.7605,-0.1487,326,275,0.0152,否
Cuba,125897.3317,24110.0586,0.2482,369,296,0.0142,否
New Zealand,119332.2589,8635.563,0.0405,315,252,0.0135,否
Nicaragua,110639.7373,20166.4457,0.2485,315,259,0.0125,否
Dominican Republic,107138.7564,1198.3497,0.0093,389,303,0.0121,否
Turkey,96330.1566,-39086.598,-0.4752,632,463,0.0109,否
Guatemala,96010.8851,16727.6971,0.2402,266,219,0.0109,否
Iran,86267.8783,16284.72,0.244,312,259,0.0098,否
Honduras,81606.8935,-13077.3005,-0.2575,349,279,0.0092,否
South Africa,70932.1522,13339.41,0.2472,222,204,0.008,否
Austria,66902.5476,12620.505,0.249,172,164,0.0076,否
Egypt,66378.6868,12758.73,0.2434,239,214,0.0075,否
Morocco,64234.6869,12765.795,0.2511,211,192,0.0073,否
Colombia,63465.9808,11842.5602,0.2498,163,151,0.0072,否
Netherlands,63433.2368,-12410.97,-0.3503,204,184,0.0072,否
Ukraine,62411.7673,11574.495,0.2513,209,186,0.0071,否
Japan,61598.9132,9646.26,0.2267,128,124,0.007,否
Russia,61501.2471,12094.44,0.2538,191,174,0.007,否
Saudi Arabia,57868.3772,10294.74,0.2491,163,153,0.0065,否
Democratic Republic of the Congo,57710.0921,10429.86,0.2395,187,173,0.0065,否
Iraq,55540.5066,10731.54,0.2411,198,178,0.0063,否
Canada,53649.7764,10218.45,0.2475,201,181,0.0061,否
Thailand,51506.3226,-2790.4818,-0.1678,138,127,0.0058,否
Nigeria,51475.9028,-28586.118,-0.4997,410,332,0.0058,否
Vietnam,51022.3501,1496.6424,0.0201,122,113,0.0058,否
Argentina,49730.0228,-7317.5105,-0.2594,191,169,0.0056,否
Panama,47011.5019,-7175.485,-0.2329,199,183,0.0053,否
Pakistan,42687.2246,-4666.044,-0.2747,123,116,0.0048,否
Malaysia,42633.9019,8631.675,0.2802,82,81,0.0048,否
Bangladesh,41572.7325,7536.69,0.2647,82,76,0.0047,否
Poland,36683.4459,7026.105,0.2405,116,107,0.0041,否
Belgium,33584.7264,6166.56,0.2479,71,71,0.0038,否
Singapore,31356.6962,5776.08,0.2415,72,65,0.0035,否
Romania,29477.2161,5450.475,0.2546,90,85,0.0033,否
Chile,28931.5258,5029.8222,0.2401,80,75,0.0033,否
Algeria,28879.341,5427.855,0.2487,93,86,0.0033,否
Myanmar (Burma),28032.0137,-220.2609,0.0024,58,56,0.0032,否
South Korea,27560.0348,-3854.595,-0.2977,82,74,0.0031,否
Venezuela,24758.0082,-3603.1107,-0.2359,96,93,0.0028,否
Sweden,24402.1088,-5923.815,-0.3689,100,96,0.0028,否
Tanzania,20380.1558,3112.386,0.2244,73,69,0.0023,否
Zambia,18865.3706,3634.635,0.2524,46,46,0.0021,否
Angola,18865.0258,3791.82,0.279,60,59,0.0021,否
Senegal,18422.7354,3612.795,0.242,56,56,0.0021,否
Ghana,18093.3654,3130.875,0.2351,60,60,0.002,否
Peru,17413.0738,-2728.0976,-0.2255,73,68,0.002,否
Switzerland,16757.2808,2845.11,0.2305,40,39,0.0019,否
Cote d'Ivoire,16691.5157,3296.715,0.2574,47,46,0.0019,否
Israel,16234.7353,2696.73,0.2156,48,48,0.0018,否
Cameroon,16106.3754,3023.595,0.2381,66,62,0.0018,否
Mozambique,15393.1457,2743.68,0.2397,49,46,0.0017,否
Norway,15330.3557,2831.655,0.2503,37,37,0.0017,否
Ireland,14877.0345,-3306.396,-0.3531,51,49,0.0017,否
Kenya,14506.2506,2519.205,0.2353,55,54,0.0016,否
Finland,14496.6806,2532.045,0.23,34,33,0.0016,否
Sudan,14477.1604,2573.145,0.2415,40,40,0.0016,否
Afghanistan,12829.1606,2128.995,0.2235,26,25,0.0015,否
Bulgaria,12564.3354,2504.175,0.2644,41,38,0.0014,否
Cambodia,10775.7908,1695.03,0.236,21,21,0.0012,否
Madagascar,10659.6604,1996.545,0.2566,27,27,0.0012,否
Haiti,10479.5711,-2037.273,-0.2533,42,39,0.0012,否
Portugal,10384.4803,-2355.39,-0.3879,37,36,0.0012,是
Ecuador,10022.5685,1414.5825,0.233,24,24,0.0011,否
Bolivia,9374.1613,1633.391,0.2385,26,26,0.0011,否
Hungary,9328.2354,1668.9,0.2414,28,27,0.0011,否
Belarus,9190.2253,2033.655,0.3003,42,41,0.001,否
Czech Republic,8584.5502,1624.35,0.2427,36,35,0.001,否
Denmark,8136.3382,-2038.614,-0.3831,31,31,0.0009,是
Jordan,6404.3903,1323.96,0.2272,17,17,0.0007,否
Mali,6261.9853,1078.185,0.229,22,22,0.0007,否
Uzbekistan,6252.4001,1238.205,0.253,21,22,0.0007,否
Niger,5899.7902,1255.875,0.2574,17,17,0.0007,否
Libya,5674.6901,1145.295,0.2673,18,18,0.0006,否
Mongolia,5584.0901,978.285,0.2017,13,13,0.0006,否
Barbados,5349.5833,1062.1366,0.2877,13,13,0.0006,否
Jamaica,5197.4652,1043.1258,0.2373,15,15,0.0006,否
Trinidad and Tobago,5090.6962,882.044,0.1736,13,13,0.0006,否
Kyrgyzstan,5089.4751,1172.955,0.2999,17,18,0.0006,否
Moldova,4951.0251,984.51,0.2216,16,16,0.0006,否
Rwanda,4909.5951,933.975,0.209,17,17,0.0006,否
Benin,4782.6152,770.205,0.2329,23,23,0.0005,否
Somalia,4754.3801,799.23,0.217,32,32,0.0005,否
Kazakhstan,4605.444,-3084.813,-0.4997,53,53,0.0005,是
Lithuania,4468.4612,-1924.308,-0.4997,24,25,0.0005,是
Syria,4321.9491,431.556,0.1601,16,16,0.0005,否
Martinique,4234.3412,767.331,0.2139,11,11,0.0005,否
Uruguay,4146.6602,539.065,0.192,15,15,0.0005,否
Togo,4107.2751,741.855,0.2099,20,20,0.0005,否
Georgia,4089.4901,856.08,0.3016,18,19,0.0005,否
Hong Kong,3975.4952,726.105,0.2431,9,9,0.0004,否
Croatia,3936.9101,870.735,0.2504,20,20,0.0004,否
Taiwan,3822.7702,730.65,0.2875,5,5,0.0004,否
Azerbaijan,3751.6601,684.645,0.2495,20,20,0.0004,否
Zimbabwe,3719.3721,-2418.657,-0.4997,42,40,0.0004,是
Nepal,3344.0751,654.63,0.2563,6,6,0.0004,否
Guinea,3285.9651,510.165,0.2542,10,10,0.0004,否
Qatar,3064.0301,651.675,0.3026,6,6,0.0003,否
Estonia,2872.6901,533.265,0.2627,7,7,0.0003,否
Albania,2850.5151,431.61,0.1899,10,10,0.0003,否
Lebanon,2753.7351,646.305,0.328,8,8,0.0003,否
Liberia,2712.9351,611.325,0.2527,7,7,0.0003,否
Mauritania,2497.4903,401.19,0.2545,8,8,0.0003,否
Bosnia and Herzegovina,2440.4151,439.89,0.2094,8,8,0.0003,否
Yemen,2401.2591,-1180.794,-0.4997,11,11,0.0003,是
Papua New Guinea,2367.5661,-213.642,-0.2842,9,9,0.0003,是
Sierra Leone,2338.6851,349.815,0.166,6,6,0.0003,否
Paraguay,2298.3101,408.9725,0.2401,6,6,0.0003,否
Djibouti,2148.8451,524.595,0.2972,5,5,0.0002,否
Turkmenistan,2027.061,-930.039,-0.4997,16,16,0.0002,是
Guinea-Bissau,1952.0801,259.995,0.2317,4,4,0.0002,否
Namibia,1883.6201,246.0,0.175,5,5,0.0002,否
Gabon,1751.73,355.38,0.275,5,5,0.0002,否
Republic of the Congo,1633.9251,280.74,0.209,2,2,0.0002,否
Uganda,1621.935,-1178.916,-0.4997,19,19,0.0002,是
Central African Republic,1564.2101,267.765,0.2067,4,4,0.0002,否
Lesotho,1531.3001,312.3,0.3097,3,3,0.0002,否
Tunisia,1511.0451,302.61,0.2492,9,9,0.0002,否
Guadeloupe,1461.64,457.53,0.3235,4,4,0.0002,否
Montenegro,1351.6251,278.475,0.3344,2,2,0.0002,否
South Sudan,959.7951,111.945,0.2349,2,2,0.0001,是
Slovenia,870.9951,162.765,0.3059,2,2,0.0001,否
Slovakia,865.32,115.26,0.2021,4,4,0.0001,否
Sri Lanka,851.82,86.37,0.1929,4,4,0.0001,是
Ethiopia,850.62,213.945,0.2752,4,4,0.0001,否
United Arab Emirates,744.12,-504.924,-0.4997,6,6,0.0001,是
Bahrain,625.6551,12.84,0.0797,1,1,0.0001,是
Chad,609.7251,90.0,0.0349,1,1,0.0001,是
Swaziland,288.03,86.76,0.3097,2,2,0.0,是
Burundi,267.72,103.08,0.4098,2,2,0.0,是
Tajikistan,242.784,-67.053,-0.4997,2,2,0.0,是
Macedonia,209.64,43.38,0.2773,3,3,0.0,是
Eritrea,187.74,76.2,0.3041,1,1,0.0,是
Armenia,156.75,69.09,0.373,2,2,0.0,是
Equatorial Guinea,150.51,44.46,0.1528,1,1,0.0,是
