region,Total_Sales,Total_Profit,Avg_Profit_Rate,Order_Count,Customer_Count,Sales_Share,Is_LowPerformance
Central,2016017.4228,208781.9987,0.112,5249,795,0.228,否
South,1142652.0558,109975.4478,0.0981,3270,776,0.1293,否
North,888523.6807,107717.291,0.1416,2356,763,0.1005,否
Oceania,721698.0154,63824.178,0.0896,1744,705,0.0816,否
EMEA,629024.6271,51093.627,0.0164,2462,760,0.0712,否
Southeast Asia,615553.7498,14717.2912,-0.0532,1517,672,0.0696,否
Africa,591929.2326,67846.245,0.0785,2232,754,0.067,否
North Asia,540042.3664,81860.727,0.193,1150,617,0.0611,否
West,491123.8896,69593.1726,0.2327,1611,686,0.0556,否
Central Asia,460060.4454,66539.751,0.1684,1026,570,0.052,否
East,425177.5848,48309.7889,0.1861,1401,674,0.0481,是
Caribbean,264849.385,27483.3028,0.1114,855,524,0.03,是
Canada,53649.7764,10218.45,0.2475,201,181,0.0061,是
